InterconnectorLinks,ToNode,Period,TransmissionInitialCapacity
Switzerland,Austria,1,1200
CzechR,Austria,1,900
Germany,Austria,1,5400
Hungary,Austria,1,800
Italy,Austria,1,800
Slovenia,Austria,1,950
Slovakia,Austria,1,0
France,Belgium,1,4300
Luxemb.,Belgium,1,680
Netherlands,Belgium,1,3400
GreatBrit.,Belgium,1,1000
Germany,Belgium,1,1000
NO2,Belgium,1,0
Croatia,BosniaH,1,750
Serbia,BosniaH,1,530
Italy,BosniaH,1,0
Greece,Bulgaria,1,1700
Macedonia,Bulgaria,1,500
Romania,Bulgaria,1,1500
Serbia,Bulgaria,1,320
Hungary,Croatia,1,1700
Serbia,Croatia,1,500
Slovenia,Croatia,1,2000
Italy,Croatia,1,0
Germany,CzechR,1,2100
Poland,CzechR,1,1400
Slovakia,CzechR,1,1800
NO2,Denmark,1,1632
Sweden,Denmark,1,750
Netherlands,Denmark,1,700
GreatBrit.,Denmark,1,1400
Poland,Denmark,1,0
Denmark,Germany,1,4100
Finland,Estonia,1,1016
Latvia,Estonia,1,1100
Sweden,Estonia,1,0
NO4,Finland,1,0
Sweden,Finland,1,2400
GreatBrit.,France,1,4000
Italy,France,1,4100
Ireland,France,1,0
Luxemb.,France,1,380
NO2,France,1,0
France,Germany,1,3300
France,Spain,1,5000
France,Switzerland,1,3700
Luxemb.,Germany,1,2300
Netherlands,Germany,1,5000
NO2,Germany,1,1400
Poland,Germany,1,3000
Sweden,Germany,1,615
Italy,Germany,1,0
Germany,Switzerland,1,4200
Ireland,GreatBrit.,1,1750
Netherlands,GreatBrit.,1,1000
NO2,GreatBrit.,1,1100
NO5,GreatBrit.,1,0
Italy,Greece,1,500
Macedonia,Greece,1,1100
Romania,Hungary,1,1100
Serbia,Hungary,1,750
Slovakia,Hungary,1,2600
Poland,Hungary,1,0
Slovenia,Hungary,1,1200
Ireland,Spain,1,0
Slovenia,Italy,1,660
Italy,Switzerland,1,3750
Sweden,Latvia,1,0
Latvia,Lithuania,1,950
Sweden,Lithuania,1,700
Poland,Lithuania,1,500
Serbia,Macedonia,1,540
NO2,Netherlands,1,723
Sweden,NO1,1,2145
NO2,NO1,1,3500
NO3,NO1,1,500
NO5,NO1,1,3900
NO5,NO2,1,600
NO4,NO3,1,1200
NO5,NO3,1,500
Sweden,NO3,1,1000
Sweden,NO4,1,300
Sweden,Poland,1,600
Slovakia,Poland,1,1980
Portugal,Spain,1,4200
Serbia,Romania,1,680
Switzerland,Austria,2,1200
CzechR,Austria,2,900
Germany,Austria,2,5400
Hungary,Austria,2,800
Italy,Austria,2,800
Slovenia,Austria,2,950
Slovakia,Austria,2,0
France,Belgium,2,4300
Luxemb.,Belgium,2,680
Netherlands,Belgium,2,3400
GreatBrit.,Belgium,2,1000
Germany,Belgium,2,1000
NO2,Belgium,2,0
Croatia,BosniaH,2,750
Serbia,BosniaH,2,530
Italy,BosniaH,2,0
Greece,Bulgaria,2,1700
Macedonia,Bulgaria,2,500
Romania,Bulgaria,2,1500
Serbia,Bulgaria,2,320
Hungary,Croatia,2,1700
Serbia,Croatia,2,500
Slovenia,Croatia,2,2000
Italy,Croatia,2,0
Germany,CzechR,2,2100
Poland,CzechR,2,1400
Slovakia,CzechR,2,1800
NO2,Denmark,2,1632
Sweden,Denmark,2,750
Netherlands,Denmark,2,700
GreatBrit.,Denmark,2,1400
Poland,Denmark,2,0
Denmark,Germany,2,4100
Finland,Estonia,2,1016
Latvia,Estonia,2,1100
Sweden,Estonia,2,0
NO4,Finland,2,0
Sweden,Finland,2,2400
GreatBrit.,France,2,4000
Italy,France,2,4100
Ireland,France,2,0
Luxemb.,France,2,380
NO2,France,2,0
France,Germany,2,3300
France,Spain,2,5000
France,Switzerland,2,3700
Luxemb.,Germany,2,2300
Netherlands,Germany,2,5000
NO2,Germany,2,1400
Poland,Germany,2,3000
Sweden,Germany,2,615
Italy,Germany,2,0
Germany,Switzerland,2,4200
Ireland,GreatBrit.,2,1750
