Node,NG_Terminal_Type
NO2,DomesticProduction
NO5,DomesticProduction
NO3,DomesticProduction
GreatBrit.,DomesticProduction
GreatBrit.,LNGImport
Spain,PipelineImport
Spain,LNGImport
Italy,PipelineImport
Italy,LNGImport
Belgium,LNGImport
Croatia,LNGImport
France,LNGImport
Greece,LNGImport
Lithuania,LNGImport
Netherlands,LNGImport
Poland,LNGImport
Portugal,LNGImport
Germany,RussianGas
Lithuania,RussianGas
Hungary,RussianGas
Poland,RussianGas
Romania,RussianGas
Slovakia,RussianGas
Bulgaria,RussianGas
Germany,LNGImport
Estonia,LNGImport
Finland,LNGImport
Ireland,LNGImport
Latvia,LNGImport
